iter	Passed	Remaining
0	1	125
1	2	120
2	3	116
3	4	112
4	5	110
5	7	113
6	9	121
7	10	118
8	11	115
9	12	112
10	14	113
11	15	111
12	16	109
13	17	106
14	18	104
15	19	102
16	20	100
17	21	99
18	23	99
19	31	125
20	32	123
21	33	120
22	35	117
23	36	114
24	46	140
25	48	137
26	50	136
27	51	133
28	58	143
29	59	139
30	60	135
31	61	131
32	62	127
33	64	124
34	66	123
35	67	120
36	73	124
37	74	121
38	75	117
39	76	114
40	77	111
41	82	114
42	85	112
43	87	110
44	88	108
45	89	105
46	91	103
47	92	100
48	94	98
49	96	96
50	99	95
51	101	93
52	102	91
53	104	88
54	105	86
55	106	83
56	108	82
57	109	79
58	111	77
59	115	76
60	117	75
61	119	72
62	120	70
63	121	68
64	123	66
65	125	64
66	128	63
67	131	61
68	132	59
69	134	57
70	136	55
71	137	53
72	139	51
73	146	51
74	148	49
75	151	47
76	152	45
77	153	43
78	155	41
79	156	39
80	160	37
81	166	36
82	168	34
83	169	32
84	170	30
85	175	28
86	176	26
87	179	24
88	181	22
89	182	20
90	184	18
91	187	16
92	189	14
93	190	12
94	191	10
95	193	8
96	194	6
97	195	3
98	197	1
99	198	0
