iter	RMSE
0	13.44012091
1	13.0472835
2	12.6333819
3	12.26085822
4	11.88007147
5	11.50111374
6	11.12888319
7	10.76834698
8	10.4219328
9	10.08642286
10	9.7687566
11	9.445975113
12	9.149726237
13	8.856467945
14	8.587478113
15	8.307725307
16	8.072604219
17	7.843304068
18	7.588759318
19	7.360384859
20	7.134464314
21	6.920271617
22	6.720479255
23	6.515701204
24	6.326638072
25	6.125600758
26	5.947159638
27	5.764197766
28	5.605231295
29	5.431411949
30	5.26683042
31	5.105023358
32	4.961012875
33	4.807867399
34	4.663234253
35	4.537070853
36	4.398899032
37	4.269448658
38	4.148025984
39	4.034745166
40	3.917826582
41	3.805428397
42	3.696437775
43	3.594278595
44	3.497948663
45	3.390050495
46	3.285831686
47	3.190500164
48	3.101360138
49	3.015504845
50	2.930108603
51	2.846529715
52	2.76000355
53	2.687428143
54	2.612993664
55	2.546241524
56	2.480235446
57	2.414737154
58	2.343957197
59	2.278086367
60	2.214702802
61	2.154003186
62	2.098977943
63	2.044965338
64	1.992362565
65	1.94068547
66	1.894427286
67	1.843982802
68	1.79583829
69	1.749946695
70	1.704323346
71	1.662571852
72	1.62028197
73	1.577502647
74	1.541080398
75	1.501553068
76	1.463481211
77	1.431526079
78	1.399446277
79	1.368148102
80	1.337657849
81	1.30862832
82	1.279304056
83	1.250750515
84	1.225433067
85	1.197344698
86	1.172374541
87	1.149079293
88	1.125509215
89	1.102100481
90	1.081337981
91	1.060889386
92	1.040856855
93	1.023827046
94	1.0066877
95	0.9893796139
96	0.9715929122
97	0.9549000305
98	0.9376647094
99	0.920056714
100	0.9047208338
101	0.8897808243
102	0.8739032409
103	0.8607626728
104	0.847802296
105	0.8352824105
106	0.8224998334
107	0.8104287904
108	0.7992540848
109	0.7885910812
110	0.7767001402
111	0.7653817605
112	0.7619005525
113	0.7527984172
114	0.7430233836
115	0.7326396308
116	0.7228929574
117	0.719539148
118	0.7137242482
119	0.7110360562
120	0.7020420125
121	0.6988129851
122	0.6956299954
123	0.6875026121
124	0.683687335
125	0.6808215153
126	0.675577605
127	0.6672215225
128	0.6603875
129	0.6574821076
130	0.6495517667
