iter	Passed	Remaining
0	5	5241
1	7	3603
2	9	3026
3	13	3309
4	15	3119
5	17	2901
6	19	2760
7	21	2649
8	23	2580
9	25	2502
10	29	2612
11	31	2580
12	34	2606
13	36	2556
14	39	2575
15	41	2530
16	44	2575
17	47	2615
18	49	2581
19	52	2563
20	54	2535
21	56	2527
22	59	2518
23	61	2491
24	63	2484
25	68	2551
26	71	2568
27	75	2627
28	77	2598
29	79	2572
30	81	2562
31	84	2546
32	86	2524
33	89	2534
34	91	2515
35	93	2498
36	95	2491
37	98	2486
38	101	2503
39	105	2535
40	107	2519
41	109	2508
42	111	2491
43	113	2474
44	115	2461
45	120	2494
46	122	2479
47	124	2464
48	126	2459
49	128	2446
50	130	2431
51	132	2418
52	136	2435
53	138	2423
54	140	2411
55	142	2400
56	144	2395
57	146	2383
58	150	2395
59	152	2391
60	154	2380
61	156	2368
62	158	2358
63	160	2351
64	162	2341
65	165	2339
66	167	2330
67	169	2324
68	171	2314
69	173	2302
70	175	2293
71	179	2307
72	181	2310
73	184	2307
74	189	2340
75	192	2338
76	196	2350
77	202	2396
78	210	2450
79	215	2481
80	219	2486
81	226	2531
82	230	2542
83	234	2552
84	238	2562
85	243	2585
86	245	2579
87	248	2573
88	260	2667
89	263	2660
90	265	2651
91	268	2648
92	274	2679
93	278	2679
94	280	2671
95	282	2663
96	292	2718
97	294	2712
98	297	2707
99	299	2699
100	310	2766
101	316	2785
102	321	2799
103	324	2798
104	327	2793
105	373	3153
106	377	3149
107	382	3157
108	389	3184
109	392	3178
110	397	3182
111	404	3204
112	408	3203
113	501	3897
114	506	3894
115	510	3890
116	513	3877
117	519	3884
118	522	3871
119	525	3850
120	528	3841
121	533	3841
122	536	3823
123	591	4175
124	595	4168
125	600	4166
126	606	4170
127	610	4155
128	615	4158
129	619	4143
130	623	4139
131	627	4127
132	685	4471
133	688	4452
134	693	4446
135	696	4424
136	699	4406
137	705	4407
138	712	4414
139	754	4636
140	761	4641
141	767	4637
142	772	4629
143	779	4632
144	781	4605
145	782	4579
146	789	4582
147	791	4559
148	793	4531
149	797	4518
150	800	4498
151	801	4470
152	804	4455
153	808	4438
154	811	4424
155	812	4396
156	816	4384
157	818	4359
158	821	4345
159	823	4324
160	826	4306
161	831	4303
162	836	4294
163	840	4285
164	842	4265
165	848	4261
166	851	4245
167	852	4221
168	855	4205
169	857	4185
170	862	4179
171	863	4155
172	864	4134
173	867	4115
174	869	4097
175	870	4074
176	871	4051
177	873	4033
178	874	4011
179	877	3997
180	879	3978
181	881	3961
182	883	3944
183	885	3925
184	887	3910
185	890	3898
186	891	3877
187	894	3863
188	896	3846
189	897	3828
190	899	3809
191	901	3794
192	906	3789
193	910	3783
194	914	3776
195	918	3768
196	923	3766
197	926	3753
198	928	3738
199	933	3734
200	948	3771
201	955	3773
202	959	3766
203	962	3754
204	963	3736
205	965	3721
206	971	3721
207	974	3711
208	976	3694
209	978	3682
210	981	3671
211	986	3668
212	990	3659
213	992	3646
214	996	3638
215	1006	3652
216	1009	3643
217	1013	3634
218	1018	3631
219	1021	3623
220	1023	3606
221	1026	3596
222	1031	3595
223	1033	3579
224	1034	3562
225	1036	3550
226	1040	3543
227	1044	3535
228	1046	3524
229	1050	3518
230	1053	3508
231	1057	3499
232	1059	3486
233	1070	3504
234	1071	3488
235	1075	3480
236	1090	3511
237	1107	3545
238	1118	3559
239	1122	3553
240	1127	3551
241	1131	3545
242	1133	3531
243	1138	3526
244	1143	3525
245	1147	3516
246	1150	3507
247	1153	3496
248	1155	3484
249	1161	3484
250	1164	3475
251	1169	3471
252	1173	3465
253	1178	3461
254	1184	3460
255	1190	3459
256	1197	3461
257	1201	3454
258	1203	3442
259	1207	3436
260	1210	3426
261	1212	3416
262	1215	3405
263	1217	3394
264	1223	3392
265	1225	3380
266	1226	3366
267	1228	3354
268	1230	3344
269	1233	3333
270	1240	3337
271	1246	3336
272	1251	3333
273	1253	3322
274	1256	3313
275	1259	3302
276	1261	3291
277	1263	3281
278	1264	3267
279	1268	3262
280	1270	3251
281	1273	3241
282	1275	3232
283	1278	3223
284	1283	3218
285	1285	3208
286	1287	3198
287	1289	3189
288	1292	3180
289	1295	3170
290	1300	3168
291	1302	3159
292	1305	3149
293	1307	3140
294	1310	3132
295	1314	3127
296	1316	3117
297	1319	3108
298	1321	3098
299	1323	3088
300	1325	3078
301	1337	3091
302	1346	3098
303	1349	3090
304	1353	3084
305	1357	3078
306	1362	3076
307	1368	3075
308	1372	3068
309	1378	3067
310	1387	3074
311	1428	3148
312	1449	3182
313	1462	3196
314	1465	3187
315	1470	3182
316	1475	3178
317	1477	3169
318	1480	3159
319	1482	3150
320	1485	3141
321	1487	3131
322	1493	3129
323	1495	3120
324	1497	3111
325	1500	3101
326	1502	3092
327	1507	3088
328	1510	3080
329	1514	3075
330	1517	3068
331	1523	3065
332	1526	3058
333	1529	3049
334	1533	3045
335	1541	3045
336	1544	3038
337	1546	3029
