iter	Passed	Remaining
0	150	150448
1	152	76054
2	154	51218
3	155	38796
4	158	31511
5	161	26697
6	163	23207
7	165	20491
8	167	18399
9	168	16689
10	170	15295
11	171	14136
12	173	13147
13	174	12305
14	177	11653
15	179	11010
16	180	10441
17	182	9934
18	184	9500
19	185	9101
20	187	8740
21	189	8410
22	191	8146
23	193	7868
24	195	7606
25	196	7362
26	198	7137
27	199	6926
28	201	6754
29	203	6586
30	207	6474
31	209	6330
32	210	6178
33	212	6033
34	213	5896
35	215	5768
36	216	5646
37	221	5607
38	223	5503
39	225	5403
40	227	5315
41	228	5223
42	230	5133
43	232	5047
44	236	5022
45	238	4946
46	240	4870
47	241	4797
48	244	4744
49	246	4681
50	249	4639
51	253	4617
52	254	4556
53	256	4496
54	258	4439
55	260	4388
56	264	4373
57	267	4339
58	268	4288
59	270	4240
60	272	4189
61	273	4140
62	275	4092
63	276	4045
64	279	4020
65	281	3989
66	283	3953
67	284	3902
68	286	3866
69	289	3842
70	290	3806
71	293	3789
72	297	3777
73	299	3749
74	301	3720
75	305	3715
76	307	3691
77	311	3685
78	313	3655
79	314	3622
80	316	3591
81	318	3564
82	320	3541
83	322	3517
84	323	3484
85	328	3494
86	330	3467
87	332	3444
88	335	3433
89	337	3408
90	338	3384
91	340	3362
92	342	3337
93	343	3312
94	345	3288
95	347	3270
96	349	3249
97	350	3229
98	352	3209
99	354	3194
100	357	3179
101	358	3154
102	360	3135
103	362	3121
104	363	3102
105	365	3082
106	366	3062
107	368	3043
108	370	3025
109	371	3008
110	373	2990
111	374	2972
112	377	2960
113	378	2944
114	381	2932
115	382	2913
116	384	2898
117	385	2883
118	387	2866
119	389	2855
120	391	2842
121	392	2826
122	393	2806
123	394	2790
124	396	2776
125	398	2762
126	399	2748
127	400	2729
128	402	2715
129	403	2701
130	406	2697
131	408	2683
132	409	2670
133	411	2656
134	412	2643
135	414	2633
136	416	2622
137	417	2608
138	419	2600
139	421	2589
140	423	2582
141	425	2571
142	427	2560
143	428	2549
144	430	2539
145	432	2532
146	434	2521
147	436	2510
148	437	2498
149	438	2487
150	440	2479
151	442	2469
152	444	2458
153	445	2447
154	447	2437
155	449	2431
156	451	2421
157	452	2412
158	454	2403
159	457	2402
160	459	2393
161	461	2384
162	463	2381
163	465	2375
164	467	2366
165	469	2357
166	470	2347
167	472	2338
168	473	2328
169	475	2321
170	477	2313
171	478	2305
172	480	2298
173	482	2292
174	484	2284
175	486	2276
176	488	2269
177	490	2263
178	491	2256
179	493	2249
180	494	2237
181	496	2230
182	498	2223
183	500	2217
184	502	2211
185	503	2203
186	505	2195
187	506	2188
188	508	2181
189	509	2173
190	511	2165
191	512	2157
192	514	2150
193	516	2144
194	518	2140
195	520	2137
196	523	2133
197	525	2128
198	527	2122
199	528	2115
200	531	2111
201	532	2105
202	534	2098
203	536	2091
204	538	2087
205	540	2081
206	543	2081
207	552	2103
208	554	2097
209	555	2091
210	557	2085
211	559	2081
212	561	2074
213	563	2069
214	565	2062
215	566	2056
216	568	2052
217	570	2046
218	572	2040
219	574	2037
220	576	2031
221	578	2027
222	579	2020
223	581	2014
224	582	2007
225	584	2001
226	586	1995
227	588	1991
228	591	1990
229	595	1993
230	597	1988
231	598	1982
232	600	1977
233	603	1974
234	604	1968
235	606	1963
236	608	1958
237	610	1953
238	612	1949
239	613	1943
240	615	1938
241	617	1934
242	619	1929
243	621	1925
244	623	1919
245	624	1914
246	626	1909
247	628	1906
248	630	1901
249	632	1896
250	633	1890
251	635	1884
252	637	1880
253	638	1876
254	640	1871
255	642	1866
256	643	1861
257	646	1860
258	648	1855
259	650	1850
260	651	1845
261	653	1841
262	655	1836
263	657	1832
264	658	1826
265	660	1823
266	664	1823
267	668	1826
268	673	1829
269	675	1827
270	677	1823
271	685	1833
272	687	1830
273	690	1828
274	692	1824
275	694	1820
276	708	1848
277	710	1845
278	718	1856
279	725	1866
280	727	1862
281	729	1858
282	734	1859
283	737	1859
284	739	1855
285	741	1852
286	744	1848
287	747	1847
288	749	1844
289	755	1848
290	757	1844
291	759	1840
292	761	1836
293	767	1843
294	770	1841
295	772	1837
296	774	1832
297	776	1828
298	779	1826
299	780	1821
300	782	1816
301	783	1811
302	785	1805
303	786	1800
304	788	1795
305	789	1790
306	793	1791
307	795	1787
308	797	1783
309	799	1778
310	800	1774
311	802	1769
312	804	1766
313	807	1764
314	809	1759
315	810	1754
316	812	1749
317	813	1745
318	815	1740
319	816	1735
320	818	1730
321	820	1727
322	822	1723
323	824	1719
324	825	1715
325	827	1711
326	829	1707
327	831	1703
328	833	1699
329	835	1696
330	837	1692
331	839	1689
332	841	1684
333	842	1680
334	844	1676
335	846	1672
336	849	1671
337	852	1669
338	855	1667
339	857	1663
340	858	1659
341	860	1656
342	863	1654
343	866	1653
344	869	1650
345	870	1646
346	873	1643
347	874	1639
348	876	1635
349	878	1631
350	879	1626
351	881	1622
352	883	1618
353	884	1614
354	886	1609
355	887	1605
356	889	1601
357	891	1598
358	892	1593
359	894	1589
360	895	1585
361	897	1581
362	899	1577
363	900	1573
364	902	1569
365	903	1565
366	906	1562
367	907	1559
368	909	1554
369	910	1550
370	912	1546
371	913	1542
372	915	1538
373	916	1534
374	918	1530
375	920	1527
376	922	1524
377	924	1521
378	926	1517
379	927	1513
380	929	1509
381	931	1506
382	933	1504
383	935	1500
384	936	1496
385	938	1492
386	939	1488
387	941	1485
388	943	1481
389	944	1477
390	946	1473
391	948	1470
392	950	1467
393	952	1464
394	953	1460
395	955	1457
396	957	1453
397	959	1450
398	960	1447
399	963	1444
400	964	1441
401	966	1437
402	968	1434
403	970	1431
404	971	1427
405	973	1424
406	975	1421
407	977	1418
408	979	1415
409	980	1411
410	982	1407
411	983	1404
412	985	1400
413	987	1397
414	988	1393
415	989	1389
416	992	1386
417	993	1383
418	995	1380
419	996	1376
420	998	1373
421	999	1369
422	1001	1366
423	1003	1362
424	1004	1358
425	1006	1355
426	1007	1352
427	1009	1349
428	1011	1346
429	1013	1342
430	1014	1339
431	1016	1336
432	1018	1333
433	1021	1331
434	1022	1328
435	1024	1325
436	1025	1321
437	1027	1318
438	1029	1315
439	1031	1312
440	1032	1309
441	1034	1306
442	1036	1303
443	1038	1299
444	1039	1296
445	1041	1293
446	1042	1289
447	1044	1286
448	1045	1283
449	1047	1280
450	1050	1279
451	1055	1279
452	1057	1276
453	1058	1273
454	1060	1270
455	1062	1267
456	1064	1264
457	1065	1260
458	1066	1257
459	1068	1254
460	1069	1250
461	1071	1247
462	1073	1244
463	1074	1241
464	1077	1240
465	1082	1240
466	1085	1238
467	1087	1235
468	1089	1233
469	1091	1230
470	1093	1227
471	1094	1224
472	1096	1221
473	1098	1219
474	1100	1216
475	1102	1213
476	1103	1210
477	1105	1207
478	1107	1204
479	1108	1201
480	1110	1198
481	1112	1195
482	1114	1192
483	1116	1189
484	1117	1186
485	1119	1183
486	1121	1180
487	1122	1177
488	1124	1174
489	1125	1171
490	1127	1168
491	1128	1165
492	1130	1162
493	1132	1159
494	1134	1157
495	1135	1153
496	1137	1150
497	1138	1147
498	1140	1145
499	1142	1142
500	1143	1139
501	1144	1135
502	1146	1132
503	1148	1129
504	1149	1126
505	1151	1123
506	1152	1120
507	1154	1117
508	1155	1114
509	1157	1112
510	1159	1109
511	1160	1106
512	1162	1103
513	1164	1100
514	1166	1098
515	1167	1095
516	1169	1092
517	1170	1089
518	1172	1086
519	1173	1083
520	1175	1080
521	1177	1078
522	1179	1075
523	1181	1072
524	1183	1070
525	1185	1068
526	1187	1066
527	1190	1064
528	1192	1061
529	1194	1059
530	1196	1057
531	1199	1054
532	1201	1052
533	1203	1050
534	1212	1054
535	1215	1051
536	1220	1052
537	1222	1050
538	1225	1047
539	1227	1045
540	1229	1043
541	1231	1040
542	1234	1039
543	1237	1037
544	1239	1034
545	1241	1032
546	1243	1029
547	1245	1027
548	1248	1025
549	1250	1023
550	1252	1020
551	1255	1018
552	1257	1016
553	1259	1013
554	1261	1011
555	1263	1009
556	1266	1007
557	1269	1005
558	1271	1003
559	1274	1001
560	1277	999
561	1279	997
562	1300	1009
563	1302	1006
564	1304	1004
565	1307	1002
566	1309	1000
567	1311	997
568	1314	995
569	1316	993
570	1318	990
571	1330	995
572	1332	993
573	1334	990
574	1339	990
575	1343	988
576	1345	986
577	1348	984
578	1351	982
579	1353	980
580	1356	978
581	1358	975
582	1360	973
583	1362	970
584	1364	967
585	1366	965
586	1367	962
587	1369	959
588	1370	956
589	1372	953
590	1373	950
591	1375	947
592	1376	944
593	1378	942
594	1380	939
595	1382	936
596	1383	933
597	1385	931
598	1386	928
599	1388	925
600	1389	922
601	1391	919
602	1392	916
603	1394	914
604	1395	911
605	1397	908
606	1398	905
607	1400	902
608	1401	900
609	1403	897
610	1404	894
611	1406	891
612	1408	888
613	1409	886
614	1411	883
615	1412	880
616	1414	877
617	1415	875
618	1417	872
619	1418	869
620	1420	866
621	1421	864
622	1423	861
623	1425	858
624	1426	855
625	1428	853
626	1429	850
627	1430	847
628	1432	844
629	1433	842
630	1435	839
631	1437	836
632	1438	834
633	1440	831
634	1441	828
635	1443	826
636	1444	823
637	1446	820
638	1447	817
639	1449	815
640	1452	813
641	1455	811
642	1458	809
643	1460	807
644	1461	804
645	1463	801
646	1464	799
647	1466	796
648	1468	793
649	1469	791
650	1471	788
651	1472	786
652	1474	783
653	1475	780
654	1477	778
655	1479	775
656	1480	773
657	1482	770
658	1483	767
659	1485	765
660	1486	762
661	1488	759
662	1489	757
663	1491	754
664	1493	752
665	1494	749
666	1496	747
667	1497	744
668	1499	741
669	1501	739
670	1502	736
671	1504	734
672	1506	731
673	1507	729
674	1509	726
675	1510	724
676	1512	721
677	1514	719
678	1515	716
679	1517	714
680	1518	711
681	1522	709
682	1525	708
683	1527	705
684	1529	703
685	1531	700
686	1533	698
687	1535	696
688	1536	693
689	1539	691
690	1540	688
691	1542	686
692	1543	683
693	1545	681
694	1547	679
695	1549	676
696	1550	674
697	1552	671
698	1553	669
699	1555	666
700	1557	664
701	1558	661
702	1560	659
703	1561	656
704	1563	654
705	1564	651
706	1566	649
707	1567	646
708	1569	644
709	1571	641
710	1573	639
711	1575	637
712	1578	635
713	1580	633
714	1582	630
715	1584	628
716	1586	626
717	1587	623
718	1589	621
719	1591	618
720	1592	616
721	1594	613
722	1595	611
723	1597	608
724	1599	606
725	1600	604
726	1602	601
727	1603	599
728	1606	597
729	1608	594
730	1609	592
731	1611	590
732	1613	587
733	1615	585
734	1617	583
735	1619	580
736	1620	578
737	1622	575
738	1624	573
739	1626	571
740	1627	569
741	1629	566
742	1631	564
743	1633	562
744	1635	559
745	1636	557
746	1638	554
747	1639	552
748	1641	549
749	1642	547
750	1644	545
751	1645	542
752	1652	542
753	1654	539
754	1656	537
755	1659	535
756	1663	534
757	1666	532
758	1669	530
759	1678	530
760	1681	527
761	1683	525
762	1686	523
763	1689	521
764	1694	520
765	1696	518
766	1698	516
767	1700	513
768	1722	517
769	1727	516
770	1732	514
771	1737	513
772	1754	515
773	1759	513
774	1761	511
775	1766	509
776	1768	507
777	1774	506
778	1777	504
779	1779	501
780	1781	499
781	1783	497
782	1784	494
783	1787	492
784	1789	490
785	1793	488
786	1795	485
787	1796	483
788	1798	480
789	1801	478
790	1803	476
791	1805	474
792	1814	473
793	1817	471
794	1819	469
795	1822	467
796	1824	464
797	1825	462
798	1828	460
799	1830	457
800	1833	455
801	1834	453
802	1836	450
803	1837	448
804	1839	445
805	1841	443
806	1844	441
807	1846	438
808	1849	436
